Datein,FR(m3/dia),BODin (ppm),CODin (ppm),SSin(ppm),pHin,NAmin(ppm),NNin (ppm),Pin (ppm),Colin(ppm),Tin(°C),Condin L1,RF(mm),Pulp(ton/dia),Pap (ton/dia),,Dateout,BODout(ppm),CODout (ppm),SSout(ppm),Colout(ppm),Tout(°C),Condout,FRout(m3/dia)
9/1/1996,79757,236,465,,"6,65",,,,356,,1180,"4,8","878,13","962,1",,,,,,,,,
9/2/1996,78818,270,483,,"6,04",,"0,26",,433,43,1230,"1,5","925,6","986,8",,,,,,,,,
9/3/1996,82039,292,571,,"5,39",,"0,29",,287,"43,5",1030,"39,7","972,6",1065,,9/3/1996,74,245,,311,"33,5",1190,84097
9/4/1996,79501,264,461,,"5,92",,"0,75",,406,43,1150,"0,8","744,481","879,7",,9/4/1996,88,237,,298,33,1140,79542
9/5/1996,82461,299,471,181,"6,11",,,,406,43,1210,"26,1","891,033","985,8",,9/5/1996,67,221,37,297,33,1115,83814
9/6/1996,77323,235,353,,"6,29",,,,302,43,1176,,"814,053",1003,,9/6/1996,44,148,,239,33,780,77323
9/7/1996,79129,247,391,,"6,17",,,,318,,1075,"3,0","848,071","1064,2",,9/7/1996,46,187,,306,,1160,79285
9/8/1996,78475,255,472,,"6,63",,,,318,,1216,"46,2","964,139","1077,1",,9/8/1996,53,232,,300,,1200,80870
9/9/1996,81565,267,473,,"6,82",,,"2,04",384,43,1148,"22,6","736,316","1004,4",,9/9/1996,62,219,,277,"32,5",1129,82736
9/10/1996,82320,283,472,,"9,35","1,2",,"0,92",405,"42,5",1248,"29,8","944,266","1003,8",,9/10/1996,64,204,,287,32,1125,83865
9/11/1996,82851,286,464,,"6,34","1,8",,,288,41,1125,"12,0","837,711","1036,6",,9/11/1996,68,200,,307,31,1185,83473
9/12/1996,79417,207,504,83,"6,2",,,,367,41,1220,,"842,409",1045,,9/12/1996,62,199,31,290,"30,5",1125,79417
9/13/1996,77128,342,582,,"6,32",,,"1,69",351,44,1515,,"867,694",930,,9/13/1996,94,278,,417,32,2020,77128
9/14/1996,77008,254,471,,"6,08",,,,381,,1419,,"869,478","1075,1",,9/14/1996,53,221,,320,,1313,77008
9/15/1996,77983,224,446,,"6,66",,,,334,,1190,,"884,067","934,3",,9/15/1996,51,240,,361,,1266,77983
9/16/1996,79492,211,425,,"6,62",,"1,63",,362,44,1350,,"962,478","1023,2",,9/16/1996,58,228,,346,34,1368,79492
9/17/1996,80165,282,471,,"7,13",,"0,69",,411,44,1300,"5,9","939,255","1033,8",,9/17/1996,48,198,,337,34,1270,80471
9/18/1996,76109,244,511,,"11,39",,,,504,43,1850,,"969,905","1063,6",,9/18/1996,64,215,,360,"33,5",1301,76109
9/19/1996,76343,231,425,90,"6,36",,,,329,43,1110,,"877,811","984,1",,9/19/1996,46,199,10,389,33,1390,76343
9/20/1996,81518,243,368,,"6,04",,"0,96",,230,"43,5",971,,"990,1","873,996",,9/20/1996,66,208,,340,34,1445,81518
9/21/1996,81789,195,379,,"6,51",,,,298,,1138,,"871,959",817,,9/21/1996,63,201,,320,,1296,81789
9/22/1996,80978,195,440,,"6,64",,,,384,,1193,,"781,613","801,9",,9/22/1996,55,213,,312,,1218,80978
9/23/1996,78849,204,365,,"6,44",,,"1,32",276,42,1030,,"699,713","1029,5",,9/23/1996,59,213,,325,34,1262,78849
9/24/1996,80226,193,403,,"6,12","1,7",,"1,11",271,"44,53",1070,,"822,965","1069,9",,9/24/1996,45,182,,299,"35,5",1163,80226
9/25/1996,81841,259,442,,"4,7","1,5",,,353,"43,5",1240,"6,3","966,132","1094,1",,9/25/1996,53,192,,260,35,1147,82168
9/26/1996,80647,265,465,30,"6,07","1,5",,,331,"44,5",1101,,"862,26","963,4",,9/26/1996,57,203,30,267,35,1213,80647
9/27/1996,78640,183,440,,"7,17",,,,255,"45,5",1048,,"748,127","1004,7",,9/27/1996,32,196,,239,35,1008,78640
9/28/1996,78640,206,395,,"7,5",,,,299,,1320,,"940,711","1014,1",,9/28/1996,45,196,,315,,1205,78640
9/29/1996,78312,191,411,,"9,17",,,,404,,1042,,"923,143","1004,1",,9/29/1996,73,254,,363,,1300,78312
9/30/1996,78892,189,396,,"6,7",,"1,21",,365,45,1069,,"869,054","1039,2",,9/30/1996,62,230,,371,35,1218,78892
10/1/1996,79584,219,406,,"6,61",,"0,62",,405,45,1254,,"961,258","1072,4",,10/1/1996,62,222,,372,35,1164,79584
10/2/1996,81791,286,,,"6,02",,,,333,45,1164,"2,7","929,583","1064,7",,10/2/1996,54,,,356,"33,5",1252,81931
10/3/1996,85741,219,,,"6,36",,,,378,,1272,"64,6","893,026",1043,,10/3/1996,60,,,332,,1220,89090
10/4/1996,79618,216,,,"6,88",,,,393,,1364,"0,2","871,311","980,7",,10/4/1996,64,,,318,,1247,79628
10/5/1996,79932,188,375,,"6,72",,,,347,,1315,,"925,635","1022,4",,10/5/1996,45,209,,334,,1341,79932
10/6/1996,81759,148,353,,"6,53",,,,327,,1142,"16,9","878,234","1130,5",,10/6/1996,36,160,,326,,1326,82635
10/7/1996,78792,156,338,,"6,62",,,"1,1",361,45,1109,,"841,897","975,1",,10/7/1996,45,198,,322,34,1276,78792
10/8/1996,77898,267,446,,"11,4","1,5",,"1,15",383,44,1659,,"865,22","1034,5",,10/8/1996,46,170,,309,35,1219,77898
10/9/1996,81494,218,374,,"6,72","1,7",,,385,44,1183,,"781,212","946,9",,10/9/1996,50,171,,318,34,1380,81494
10/10/1996,83349,204,377,106,"6,51","1,4",,,421,44,1049,"36,4","780,799","1044,6",,10/10/1996,80,223,47,336,34,1280,85236
10/11/1996,74332,191,401,,"6,64",,,"1,29",350,44,1180,"12,0","706,419","900,3",,10/11/1996,40,136,,300,"34,5",1344,74954
10/12/1996,68233,225,495,,"7,15",,,,529,,1396,"0,2","767,999",975,,10/12/1996,35,144,,375,,1140,68243
10/13/1996,79861,224,411,,"7,37",,,,401,,1272,,"697,421","965,1",,10/13/1996,51,163,,417,,1286,79861
10/14/1996,83472,198,389,,"7,12",,"1,36",,408,45,1239,"4,3","619,13","907,6",,10/14/1996,59,200,,398,36,1310,83695
